date,feature_index,NO2
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,
2025-12-27T00:00:00.000Z,0,
2026-03-03T00:00:00.000Z,0,
2026-03-05T00:00:00.000Z,0,
2026-03-06T00:00:00.000Z,0,
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,1.549778062326368E-5
2026-03-04T00:00:00.000Z,0,2.2447773517342284E-5
2026-02-28T00:00:00.000Z,0,
2026-03-07T00:00:00.000Z,0,2.6916974093182944E-5
2026-06-06T00:00:00.000Z,0,3.4060221787513E-5
2026-06-11T00:00:00.000Z,0,4.021802114948514E-5
2026-06-05T00:00:00.000Z,0,5.581074728979729E-5
2026-06-07T00:00:00.000Z,0,4.5165449955675284E-5
2026-06-10T00:00:00.000Z,0,3.1538092480332124E-5
2026-06-09T00:00:00.000Z,0,3.658064379123971E-5
2026-06-08T00:00:00.000Z,0,3.74759984980402E-5
2026-06-04T00:00:00.000Z,0,5.786419478681637E-5
2025-09-25T00:00:00.000Z,0,5.437450383599046E-5
2025-09-27T00:00:00.000Z,0,4.386551902118501E-5
2025-09-23T00:00:00.000Z,0,3.0735662767256146E-5
2025-09-24T00:00:00.000Z,0,3.9944507625477856E-5
2025-09-21T00:00:00.000Z,0,2.4625972979596224E-5
2025-09-22T00:00:00.000Z,0,3.5344807924154924E-5
2025-09-28T00:00:00.000Z,0,2.4356618658722645E-5
2025-09-26T00:00:00.000Z,0,2.0367287561384728E-5
2025-10-18T00:00:00.000Z,0,4.2809759906958786E-5
2025-10-19T00:00:00.000Z,0,2.464053881744298E-5
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,4.8533515564486154E-5
2025-10-20T00:00:00.000Z,0,1.6732120457163546E-5
2025-10-15T00:00:00.000Z,0,3.9926959289005026E-5
2025-10-21T00:00:00.000Z,0,
2025-10-17T00:00:00.000Z,0,4.501365983742289E-5
2025-12-15T00:00:00.000Z,0,1.4322555580292829E-5
2025-12-10T00:00:00.000Z,0,3.4996088652405886E-5
2025-12-16T00:00:00.000Z,0,
2025-12-17T00:00:00.000Z,0,1.2666957104556786E-5
2025-12-12T00:00:00.000Z,0,1.3533755388076921E-5
2025-12-13T00:00:00.000Z,0,
2025-12-11T00:00:00.000Z,0,1.6075190615083557E-5
2025-12-14T00:00:00.000Z,0,
2026-02-25T00:00:00.000Z,0,2.2351516236085445E-5
2026-02-23T00:00:00.000Z,0,
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,
2026-02-27T00:00:00.000Z,0,2.2934155458642637E-5
2026-05-15T00:00:00.000Z,0,2.5559767379945697E-5
2026-05-17T00:00:00.000Z,0,2.5789593928493558E-5
2026-05-11T00:00:00.000Z,0,2.8166524687453364E-5
2026-05-16T00:00:00.000Z,0,3.623492837225338E-5
2026-05-18T00:00:00.000Z,0,2.2441504370362964E-5
2026-05-12T00:00:00.000Z,0,4.0918088188846014E-5
2026-05-14T00:00:00.000Z,0,
2026-05-13T00:00:00.000Z,0,4.1548192712070886E-5
2026-08-10T00:00:00.000Z,0,2.8101278076064773E-5
2026-08-07T00:00:00.000Z,0,3.951287716948795E-5
2026-08-09T00:00:00.000Z,0,3.333165423100581E-5
2026-08-08T00:00:00.000Z,0,3.6396385742894687E-5
2026-08-13T00:00:00.000Z,0,5.3033492713439044E-5
2026-08-12T00:00:00.000Z,0,4.8641287139616904E-5
2026-08-11T00:00:00.000Z,0,3.2203708906308746E-5
