date,feature_index,SO2
2026-08-19T00:00:00.000Z,0,6.865165050840005E-6
2026-08-22T00:00:00.000Z,0,6.769348747184267E-5
2026-08-17T00:00:00.000Z,0,-2.40142800976173E-5
2026-08-20T00:00:00.000Z,0,1.634343150726636E-4
2025-09-08T00:00:00.000Z,0,1.030465413350612E-4
2025-09-10T00:00:00.000Z,0,8.210071973735467E-5
2025-09-12T00:00:00.000Z,0,1.2159293225977308E-4
2025-09-11T00:00:00.000Z,0,-2.682341932086274E-4
2025-09-06T00:00:00.000Z,0,2.223233591044286E-5
2025-09-07T00:00:00.000Z,0,
2025-09-09T00:00:00.000Z,0,-4.376753227006702E-5
2025-09-05T00:00:00.000Z,0,4.635417699319078E-5
2026-05-21T00:00:00.000Z,0,-3.042192007127495E-5
2026-05-19T00:00:00.000Z,0,6.813932668592315E-5
2026-05-23T00:00:00.000Z,0,5.421019432105822E-4
2026-05-25T00:00:00.000Z,0,1.4674167219449634E-4
2026-05-26T00:00:00.000Z,0,-3.4417225067859124E-5
2026-05-20T00:00:00.000Z,0,2.940481499535963E-5
2026-05-22T00:00:00.000Z,0,2.1574314450845122E-4
2026-05-24T00:00:00.000Z,0,2.596506442387181E-4
2026-01-03T00:00:00.000Z,0,
2026-01-04T00:00:00.000Z,0,7.684481157152081E-5
2026-01-06T00:00:00.000Z,0,-1.0667788207202273E-4
2026-01-10T00:00:00.000Z,0,
2026-01-07T00:00:00.000Z,0,-1.9826725890327777E-4
2026-01-08T00:00:00.000Z,0,2.7595367282629013E-4
2026-01-05T00:00:00.000Z,0,
2026-01-09T00:00:00.000Z,0,-2.7015643494311145E-5
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,5.504403752638609E-5
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,1.7597737626471955E-5
2025-10-28T00:00:00.000Z,0,3.5635985434911325E-5
2025-10-30T00:00:00.000Z,0,4.616078058461426E-6
2025-10-25T00:00:00.000Z,0,1.7067014687199844E-4
2025-10-24T00:00:00.000Z,0,5.058692840975709E-5
2025-11-06T00:00:00.000Z,0,
2025-11-03T00:00:00.000Z,0,1.4286768055171706E-4
2025-11-05T00:00:00.000Z,0,2.1063333016562474E-4
2025-10-31T00:00:00.000Z,0,-6.766254773538094E-5
2025-11-02T00:00:00.000Z,0,
2025-11-04T00:00:00.000Z,0,1.6123306392858338E-5
2025-11-07T00:00:00.000Z,0,2.1038710614058282E-4
2025-11-01T00:00:00.000Z,0,-5.905390275984246E-5
2025-12-15T00:00:00.000Z,0,-4.985428201437641E-5
2025-12-10T00:00:00.000Z,0,2.1842637688678223E-4
2025-12-16T00:00:00.000Z,0,
2025-12-17T00:00:00.000Z,0,1.3828684495820198E-4
2025-12-12T00:00:00.000Z,0,-5.207982212596107E-6
2025-12-13T00:00:00.000Z,0,-1.4459168596658856E-5
2025-12-11T00:00:00.000Z,0,4.902570382434781E-5
2025-12-14T00:00:00.000Z,0,
2025-11-30T00:00:00.000Z,0,
2025-11-26T00:00:00.000Z,0,
2025-11-25T00:00:00.000Z,0,
2025-11-28T00:00:00.000Z,0,
2025-11-29T00:00:00.000Z,0,
2025-12-01T00:00:00.000Z,0,
2025-11-27T00:00:00.000Z,0,
2025-11-24T00:00:00.000Z,0,
2026-06-03T00:00:00.000Z,0,8.248761986067166E-5
2026-05-29T00:00:00.000Z,0,8.354717265319777E-5
2026-06-02T00:00:00.000Z,0,1.260461626770848E-4
